# Flashcards - Tema 01: Monitorização Hemodinâmica Invasiva

Este arquivo contém flashcards no formato Anki-compatível (CSV).
Para importar no Anki: File > Import > Selecionar este arquivo

---

## Formato: Frente | Verso | Tags

Qual a fórmula para cálculo da PAM? | PAM = PAD + (PAS - PAD)/3 ou PAM = (PAS + 2×PAD)/3 | monitorizacao;hemodinamica;pam

Qual a meta de PAM em choque séptico segundo a Surviving Sepsis Campaign? | PAM ≥ 65 mmHg (individualizar conforme perfusão e comorbidades) | choque;sepse;pam;metas

O que é o Teste de Allen e quando deve ser realizado? | Teste para avaliar circulação colateral da mão antes de puncionar artéria radial. Deve ser realizado sempre antes da punção radial para garantir que há fluxo pela artéria ulnar caso haja oclusão da radial. | allen;radial;monitorizacao

Quais as principais complicações da cateterização arterial? | Imediatas: hematoma, espasmo arterial. Precoces: trombose, isquemia distal, sangramento. Tardias: infecção, pseudoaneurisma, fístula arteriovenosa. | complicacoes;cateter;arterial

Qual o melhor sítio de punção arterial em pacientes com choque? | Artéria femoral (maior calibre, maior fluxo, menor taxa de falha em situação de baixo débito). Radial é alternativa se anatomia favorável e teste de Allen positivo. | femoral;radial;choque;acesso

O que representa a incisura dicrótica na curva de pressão arterial? | Marca o fechamento da válvula aórtica e o fim da sístole ventricular. Aparece como uma pequena elevação na fase descendente da curva. | curva;pressao;incisura;dicrotica

Quais são as indicações principais para monitorização arterial invasiva? | 1) Choque de qualquer etiologia 2) Instabilidade hemodinâmica grave 3) Necessidade de vasopressores/inotrópicos 4) Insuficiência respiratória grave 5) Pós-operatório de cirurgias de grande porte 6) Coletas arteriais frequentes | indicacoes;pai;monitorizacao

Paciente com PAS 120 mmHg e PAD 80 mmHg. Qual a PAM? | PAM = 80 + (120-80)/3 = 80 + 13.3 = 93.3 mmHg. Ou usando a fórmula alternativa: (120 + 2×80)/3 = 93.3 mmHg | calculo;pam;exercicio

Qual a contraindicação ABSOLUTA para punção de artéria radial? | Infecção no local de punção. As demais (teste de Allen negativo, coagulopatia, trombocitopenia) são contraindicações relativas. | contraindicacao;radial;infeccao

Como realizar o Teste de Allen? | 1) Comprimir simultaneamente artérias radial e ulnar 2) Paciente abre e fecha a mão várias vezes (palidez) 3) Liberar apenas a artéria ulnar 4) Observar retorno da coloração 5) Normal: coloração volta em < 7 segundos 6) Anormal: > 15 segundos (não puncionar radial) | allen;tecnica;procedimento

Quais os componentes da onda de pressão arterial? | 1) Fase sistólica (ascendente): ejeção ventricular, pico = PAS 2) Incisura dicrótica: fechamento da válvula aórtica 3) Fase diastólica (descendente): diástole, vale = PAD | onda;pressao;componentes

